title,body_part,difficulty,equipment,image1,image2,body_part__Abs,body_part__Arms,body_part__Back,body_part__Butt/Hips,body_part__Chest,body_part__Full Body/Integrated,body_part__Legs - Calves and Shins,body_part__Legs - Thighs,body_part__Neck,body_part__Shoulders,equipment__BOSU Trainer,equipment__Barbell,equipment__Bench,equipment__Cones,equipment__Dumbbells,equipment__Heavy Ropes,equipment__Hurdles,equipment__Kettlebells,equipment__Ladder,equipment__Medicine Ball,equipment__No Equipment,equipment__Pull up bar,equipment__Raised Platform/Box,equipment__Resistance Bands/Cables,equipment__Stability Ball,equipment__TRX,equipment__Weight Machines / Selectorized
Seated Straddle Stretch ,"['Back', 'Legs - Thighs']",Beginner,['No Equipment'],SeatedStraddleStretch_202-1.jpg,SeatedStraddleStretch_202-2.jpg,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Seated Side-Straddle Stretch ,"['Abs', 'Back', 'Legs - Thighs']",Beginner,['No Equipment'],SeatedSide-StraddleStretch_202-1.jpg,SeatedSide-StraddleStretch_202-2.jpg,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Seated Toe Touches ,"['Legs - Calves and Shins', 'Legs - Thighs']",Beginner,['No Equipment'],SeatedToeTouches_202-1.jpg,SeatedToeTouches_202-2.jpg,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Seated Calf Stretch,['Legs - Calves and Shins'],Beginner,['No Equipment'],SeatedCalfStretch_202-1.jpg,SeatedCalfStretch_202-2.jpg,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Seated Butterfly Stretch ,['Legs - Thighs'],Beginner,['No Equipment'],SeatedButterflyStretch_202-1.jpg,SeatedButterflyStretch_202-2.jpg,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Forward Hurdle Run,"['Butt/Hips', 'Legs - Calves and Shins']",Beginner,['Hurdles'],ForwardHurdleRun_202-1.jpg,ForwardHurdleRun_202-2.jpg,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Squat Jump,"['Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],SquatJump_202-1.jpg,SquatJump_202-2.jpg,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Childs Pose,"['Abs', 'Back', 'Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],ChildsPose_227-1.jpg,ChildsPose_227-2.jpg,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Warrior I,"['Butt/Hips', 'Full Body/Integrated', 'Legs - Thighs']",Beginner,['No Equipment'],WarriorI_227-1.jpg,WarriorI_227-2.jpg,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Single Leg Push-off,"['Butt/Hips', 'Legs - Calves and Shins', 'Legs - Thighs']",Beginner,['Raised Platform/Box'],SingleLegPush-off_227-1.jpg,SingleLegPush-off_227-2.jpg,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Leg Crossover Stretch ,"['Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],LegCrossoverStretch_227-1.jpg,LegCrossoverStretch_227-2.jpg,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Supine Hamstrings Stretch,"['Legs - Calves and Shins', 'Legs - Thighs']",Beginner,['No Equipment'],SupineHamstringsStretch_227-1.jpg,SupineHamstringsStretch_227-2.jpg,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Supine Reverse Marches,['Abs'],Beginner,['No Equipment'],SupineReverseMarches_227-1.jpg,SupineReverseMarches_227-2.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Upward Facing Dog,"['Abs', 'Back']",Beginner,['No Equipment'],UpwardFacingDog_227-1.jpg,UpwardFacingDog_227-2.jpg,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
V Sit Partner Rotations,['Abs'],Beginner,['Medicine Ball'],VSitPartnerRotations_227-1.jpg,VSitPartnerRotations_227-2.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
