title,body_part,difficulty,equipment,image1,image2
Crunch,['Abs'],Beginner,['No Equipment'],Crunch_30-1.jpg,Crunch_30-2.jpg
Contralateral Limb Raises,"['Back', 'Butt/Hips', 'Shoulders']",Beginner,['No Equipment'],ContralateralLimbRaises_53-1.jpg,ContralateralLimbRaises_53-2.jpg
Front Raise,['Shoulders'],Beginner,['Dumbbells'],FrontRaise_53-1.jpg,FrontRaise_53-2.jpg
Triceps Kickback,['Arms'],Beginner,['Dumbbells'],TricepsKickback_53-1.jpg,TricepsKickback_53-2.jpg
Stability Ball Sit-ups / Crunches,['Abs'],Beginner,['Stability Ball'],StabilityBallSit-ups_Crunches_53-1.jpg,StabilityBallSit-ups_Crunches_53-2.jpg
Stability Ball Wall Squats,"['Butt/Hips', 'Legs - Thighs']",Beginner,['Stability Ball'],StabilityBallWallSquats_53-1.jpg,StabilityBallWallSquats_53-2.jpg
Standing Calf Raises - Wall,['Legs - Calves and Shins'],Beginner,['No Equipment'],StandingCalfRaises-Wall_53-1.jpg,StandingCalfRaises-Wall_53-2.jpg
Half-kneeling Hay Baler,['Abs'],Beginner,['Medicine Ball'],Half-kneelingHayBaler_53-1.jpg,Half-kneelingHayBaler_53-2.jpg
Side Plank - modified,"['Abs', 'Butt/Hips']",Beginner,['No Equipment'],SidePlank-modified_53-1.jpg,SidePlank-modified_53-2.jpg
Dirty Dog,"['Abs', 'Butt/Hips']",Beginner,['No Equipment'],DirtyDog_53-1.jpg,DirtyDog_53-2.jpg
Forward Stepping over Cones ,"['Abs', 'Butt/Hips']",Beginner,['Cones'],ForwardSteppingoverCones_53-1.jpg,ForwardSteppingoverCones_53-2.jpg
Single Leg Stand,['Abs'],Beginner,['No Equipment'],SingleLegStand_53-1.jpg,SingleLegStand_53-2.jpg
Squat Jumps,"['Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],SquatJumps_53-1.jpg,SquatJumps_53-2.jpg
Supine Hollowing with Lower Extremity Movements,['Abs'],Beginner,['No Equipment'],SupineHollowingwithLowerExtremityMovements_121-1.jpg,SupineHollowingwithLowerExtremityMovements_121-2.jpg
Supine Rotator Cuff ,"['Abs', 'Shoulders']",Beginner,['No Equipment'],SupineRotatorCuff_121-1.jpg,SupineRotatorCuff_121-2.jpg
Supine Shoulder Flexion ,['Shoulders'],Beginner,['No Equipment'],SupineShoulderFlexion_121-1.jpg,SupineShoulderFlexion_121-2.jpg
Supine Snow Angel (Wipers) Exercise,"['Abs', 'Chest', 'Shoulders']",Beginner,['No Equipment'],SupineSnowAngel(Wipers)Exercise_121-1.jpg,SupineSnowAngel(Wipers)Exercise_121-2.jpg
Prone (Lying) Hamstrings Curl,['Legs - Thighs'],Beginner,['Resistance Bands/Cables'],Prone(Lying)HamstringsCurl_121-1.jpg,Prone(Lying)HamstringsCurl_121-2.jpg
Bodyweight Squat,"['Abs', 'Butt/Hips', 'Legs - Calves and Shins', 'Legs - Thighs']",Beginner,['No Equipment'],BodyweightSquat_121-1.jpg,BodyweightSquat_121-2.jpg
Standing Lunge Stretch,"['Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],StandingLungeStretch_121-1.jpg,StandingLungeStretch_121-2.jpg
Kneeling Lat Stretch (w/bench),['Back'],Beginner,['Bench'],KneelingLatStretch(w_bench)_121-1.jpg,KneelingLatStretch(w_bench)_121-2.jpg
Kneeling Hip-flexor Stretch ,"['Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],KneelingHip-flexorStretch_121-1.jpg,KneelingHip-flexorStretch_121-2.jpg
Supine Hip Flexor Stretch,"['Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],SupineHipFlexorStretch_121-1.jpg,SupineHipFlexorStretch_121-2.jpg
